unique,frequency
uirthi,789
scriostar,782
lã¡r,781
thiarna,777
fhã¡il,776
mã­,773
dhiaidh,768
feidhm,768
iarãsailãim,765
dhuine,764
scrã­obh,762
obair,761
timpeall,760
tabharfaidh,759
airgeadais,758
lãi,753
ãigin,750
bhain,749
tã­re,746
seachas,744
chonaic,744
stã¡t,743
dãantar,743
ghabh,740
lã¡mh,739
iãdã¡,737
gcoimisiãn,734
comhair,733
lã¡imh,728
mura,728
phobal,718
laistigh,714
reachtach,710
â,707
conradh,706
tharla,699
riamh,697
cãn,696
fãmhair,696
dã¡ivã­,694
son,689
mbã­onn,689
leasaã­tear,686
gceist,682
tugadh,679
dãinn,678
chãir,674
gheall,671
eagla,670
hã‰ireann,670
daoibh,669
dhãanann,668
idirnã¡isiãnta,666
mhã­,666
dãanta,665
fearr,664
pobal,661
cãig,655
mhaith,654
aici,653
dtreo,650
amhlaidh,648
baint,648
daon,646
gconradh,644
rith,642
dar,640
thãg,639
thosaigh,638
faoina,638
eolas,636
bhean,635
nithe,634
domhain,629
dã­reach,626
dã­obh,625
teach,625
c,623
rachaidh,622
fã¡gtha,621
dearbhã,620
conarthaã­,620
mhic,619
uimh,619
mã­le,618
dochar,616
uaidh,615
tabhairt,612
taontas,611
dfhonn,611
libh,611
oiread,611
sãil,611
leibhãal,609
ballstã¡t,608
trãimhse,607
bhaile,606
maois,604
gcrã­ch,603
uisce,603
chaith,603
dãirigh,602
tãs,599
trã­d,597
bhfad,595
athair,592
gurb,591
rialtas,590
leasã,590
dhaoine,590
fir,589
eacnamaã­och,589
tã­ortha,588
fud,588
abairt,588
seacht,586
seirbhã­sã­,584
sãisialta,581
chãirt,579
roinn,578
labhair,578
chuala,575
roimhe,572
bean,572
coinnã­ollacha,570
ab,567
bhun,566
cãnaã­,565
chroã­,563
gcãnaã­,561
thaobh,561
leagtar,560
baile,559
thugann,556
mnã¡,555
dhãanfaidh,554
ceithre,553
siãl,553
toisc,549
curtha,547
airde,544
seisean,542
phoblacht,541
siar,539
oraibh,538
slua,538
comhar,537
oibre,537
cosãil,537
ã¡ireamh,534
ã¡bhar,533
sagart,533
dfhreagair,532
oã­che,532
muid,529
phrãtacal,529
n-ã¡irã­tear,528
d,527
mãrã¡n,527
naofa,525
cheana,525
fã¡th,525
fãach,525
ã­obairt,525
haghaidh,523
lã¡mha,523
cuir,522
leithãid,521
domhan,520
iomlã¡n,520
rinneadh,519
bhonn,518
ãna,518
gcãad,514
tagairt,514
lch,513
gcoinne,512
poiblã­,511
bun,510
seasamh,509
sãrt,508
bhreithiãnais,502
dãanfar,500
hijmans,498
bunã,497
toil,496
grã¡,496
ãg,495
uachtarã¡n,495
bhforã¡iltear,495
cearta,495
minic,494
iontu,491
deimhin,491
bhunã,489
lãamh,487
dtã­r,487
iomchuã­,486
mbliain,485
io,485
dream,483
sonraã­,482
cãad,480
thart,480
ãd,480
sinn,478
iarscrã­bhinn,475
cãpla,475
dtãs,473
ionas,473
dãan,472
chuireann,469
cã¡ilithe,469
ã‰irinn,469
ãtha,468
of,468
chãanna,467
thromlach,466
neart,465
lae,463
phobail,463
tabhair,460
l,457
laghad,456
rã,456
rialachã¡in,456
ard,453
leabhair,453
â€œa,453
beo,452
cibã,452
focal,451
ndãigh,451
tuairim,449
focail,448
chinneadh,448
orainn,448
aird,448
mbun,447
caibidil,446
glacadh,445
lorg,445
bãarla,445
ãagsãla,444
shin,443
cathrach,442
thogra,442
lean,440
dãigh,440
cogadh,439
rãimse,438
cinnte,437
thagann,435
cheangal,435
ghlac,435
spiorad,433
bunaithe,431
ceannais,429
tine,429
chosaint,428
ãirã­,428
glacfaidh,426
fãachaint,426
fomhã­r,425
trã¡th,423
beart,422
cuireann,421
saothar,420
suite,419
laethanta,417
folã¡ir,417
â€œis,413
euro,412
theideal,412
scrã­bhneoir,412
mbliana,410
aithne,410
dã¡r,409
dimigh,408
nãsanna,407
bhãal,407
thuaidh,406
cliath,406
â€œtã¡,404
bia,404
airgid,403
ginearã¡lta,403
ndearna,402
inar,402
cuma,400
luã­,399
athraã­odh,398
caint,396
crã­ocha,394
comhaltaã­,394
treoir,392
fios,392
ghaeilge,390
sibhse,389
mian,388
and,388
gcur,386
inã­on,386
cosanta,386
gnã­omhartha,385
mhãid,385
rug,384
mhã¡thair,384
cionn,383
ae,379
iãil,378
gurbh,378
e,377
leagtha,377
lã¡idir,376
scrã­ofa,376
dfhã¡g,375
sãl,375
gcathair,375
caite,374
mãra,374
sula,374
rugadh,373
barr,373
meã¡n,373
dã¡ta,372
briathar,372
labhairt,370
slã¡n,369
bã¡is,369
hiomlã¡n,368
ndãanfar,365
saoirse,365
thit,365
chaitheamh,364
speisialta,364
iompair,364
bhã­odh,363
fiche,362
tugann,360
iompar,360
ã¡irithiã,359
leath,358
athrã,357
ansiãd,356
tugtha,355
rialã,355
bhallstã¡it,354
dtaca,354
gceannas,353
prionsabail,353
inti,352
ndia,352
mbaineann,351
dordaigh,351
tã­,351
cinntã­,350
rãimsã­,350
ãineacht,350
seilbh,349
chineã¡l,349
nollaig,348
gnã­omhaã­ochtaã­,348
rogha,348
â€œan,348
amhail,348
naimhde,347
fhomhã­r,347
inã¡r,347
eol,346
ndaoine,346
bhrasaã­l,345
saor,344
sathairn,344
thuilleadh,344
gnã­omhãidh,344
thã­r,344
mhaithe,343
aisghairthe,343
rã­the,342
bpointe,342
deich,342
iarracht,341
ngnã¡thnãs,341
bã­,340
dhã¡ivã­,340
tusa,340
fhorbairt,339
dãanaã­,339
mhã­le,338
caithfidh,336
rannphã¡irteach,336
tagartha,336
arb,336
ghrãagãra,335
coiste,335
scãalta,334
mã¡rta,333
tã¡im,333
haon,331
chaoi,331
pã¡irtã­,331
fhãilire,330
cãis,327
ii,327
bhisigh,326
dãanann,326
infheidhme,326
chã¡s,323
bã,323
iv,323
gceangal,323
sã¡sta,323
gcomhair,322
croã­,321
cathair,320
ndã¡il,319
tiocfaidh,319
cã¡,319
prãtacal,318
ama,317
thiar,316
beirt,316
theacht,315
choimisiãn,314
ngach,314
imeacht,314
eachtracha,314
to,313
shampla,313
bpobal,313
sliocht,312
dtaobh,311
thoradh,310
istigh,310
leas,309
iãl,308
hã‰igipte,308
raon,308
gabhã¡il,308
gcoinbhinsiãn,308
shaol,308
mbaile,307
sagairt,306
lãiriã,306
taighde,306
uaim,306
stair,306
thãgã¡il,305
clã,305
seachtã,305
gnã,305
crã­ost,304
ionann,304
arsa,304
gceann,304
breis,303
ã¡bhair,303
bhealach,303
radharc,302
dhã,302
aonair,302
nã¡dãrtha,301
cãras,301
ghabhann,300
cuirfear,300
â€œnã­,300
lã,300
bheartas,300
tairteagal,300
cãard,299
bhfianaise,299
smacht,298
alex,298
teampall,297
ã¡il,297
hã,297
ã‰ireann,297
talãn,296
nglacadh,295
dãanaigã­,295
ãs,294
nã¡isiãn,293
rialtais,293
teorainn,292
saothair,292
chãis,292
rudaã­,291
pã¡irt,291
bhuail,291
haois,291
bord,290
bheag,289
ceist,288
f,287
cuspãirã­,286
phã¡irtã­,286
luach,286
tionchar,286
chaibidil,285
difear,284
theach,283
altãir,283
cosaint,283
conas,282
arm,282
acquis,282
bealach,281
breith,281
mhã,281
cinã­ocha,281
dtiocfaidh,279
ghlaoigh,279
tuiscint,278
theas,277
eanã¡ir,277
moladh,277
labhraã­onn,277
sãile,277
fhear,276
thiocfaidh,276
dhlã­,276
anã­os,276
iii,276
deiridh,276
bua,276
freagra,275
amuigh,275
ãisteacht,275
thuas,275
beatha,275
shãile,275
choinneã¡il,274
choinne,274
dã¡la,274
eoraip,274
cathracha,274
samhain,274
thã­os,273
reacht,273
mharaigh,273
tugtar,273
ãrãn,273
togra,272
cãir,270
toradh,270
earraã­,270
oifigiãil,269
bhfuair,269
bhallstã¡t,269
aire,268
cãrsaã­,268
ghnãthaã­,268
meitheamh,268
fianaise,267
tãgadh,267
airgead,266
ardionadaã­,265
gcãirt,265
bealtaine,265
cãadaoin,264
brasaã­le,264
banc,264
cuã­,263
chomhdhã¡il,263
leag,263
mbãal,263
ndãantar,263
imeachtaã­,262
fãgra,262
ofrã¡il,262
comhaontuithe,262
iomaã­,261
ã¡bhartha,260
domhnaigh,259
chonartha,259
ceol,259
forbairt,259
aice,257
airm,256
aibreã¡n,256
oidhreacht,256
bheatha,256
teaghlach,256
oifig,255
staidreamh,255
dheireadh,255
chumas,254
scrios,254
eachtrach,254
seans,254
scãil,254
maolã,254
maidin,253
uã­,253
seachtaine,253
trã­na,253
ndãanfaidh,253
chearta,253
habairt,252
iãsaef,252
thabharfaidh,252
oileã¡n,251
iontach,251
pointe,251
theaghlach,251
tagtha,250
thugtar,250
chuile,250
cineã¡l,250
cead,250
seirbhã­s,250
abhaile,249
nã­orbh,249
cãirte,249
beartas,248
lig,248
institiãidã­,248
ã‰igipt,248
tãir,248
sheol,248
thãann,248
mbanc,247
rãigiãn,247
breithiãnas,247
aois,247
sheasamh,247
ãrscãal,247
scoil,247
abair,246
haithris,246
torthaã­,245
fãthu,244
ãsiltã­r,244
scrã­bhneoirã­,244
deis,243
chomhair,243
fã­or,243
pheaca,243
chuimsiã,242
nã¡ire,242
miondealã,242
chairt,242
chugam,242
tromlach,242
cãim,241
chuirfidh,241
poblacht,240
lãnasa,240
fãadfar,240
cheist,239
faire,239
giãdaigh,238
daonna,238
t-aon,238
ionsaã­,237
mhalairt,237
dfhill,237
slã¡inte,236
tã¡irgã­,236
ãr,236
mheiriceã¡,235
tãarma,235
mã­reanna,235
tseachtain,235
liosta,235
leanaã­,235
bãal,234
iacãb,234
seirbhã­se,234
ollscoil,232
lã­ne,232
choimeã¡d,231
ngaeilge,231
ãdarã¡s,231
bhã¡is,230
hãdarã¡is,230
cheap,230
eolais,230
feasta,230
shubstaint,229
domhanda,229
limistãar,229
â€œcad,228
gnã­omhaã­ocht,227
gnã­omh,227
clã¡r,227
tosaigh,227
ordã,227
rialãchã¡in,227
gnãthaã­,226
freastal,225
choimisiãin,225
eagna,225
cee,225
sonracha,224
daingean,224
breataine,224
solas,224
teorainneacha,223
bhainc,223
bheirt,223
luaithe,222
marbh,222
dhearthã¡ir,221
parlaimintã­,221
dheas,221
fhrainc,221
comhbheartas,221
eisean,220
iãsua,220
cã¡s,219
slã­,219
eoin,219
dtugtar,219
chuirfear,219
gcroã­,219
danmhairg,219
trua,218
ola,218
fonn,218
rãaltbhuã­on,218
airgeadra,218
socruithe,218
gcomhar,218
bunãsacha,218
ghin,218
bhreith,218
slãibhte,217
rã¡ite,217
liospãin,217
chomhlã­onadh,217
pearsanta,217
theanga,217
aithint,217
tagann,217
siadsan,217
fearg,216
ceathrã,216
gcontae,216
chois,216
briathra,216
ainneoin,216
shliocht,216
chumhacht,216
neamh,216
ghnã­omhaireacht,215
feabhra,215
hairteagail,215
tugaigã­,214
deo,214
aithris,214
tsaoil,214
greim,213
pã¡irtithe,213
chontae,213
ciallaã­onn,213
lasmuigh,212
iarthar,212
iodã¡il,212
olc,212
feiceã¡il,212
naoi,212
dlã­nse,212
mholadh,211
tslã­,211
chuireadar,211
dtrã¡cht,211
tamall,211
dteach,211
uathu,211
bhã­thin,211
chuirtear,211
meas,210
comhlachtaã­,210
cãraimã­,210
cabhair,210
cãirt,209
deara,209
mhair,209
scrã­bhneoireachta,209
comhphobail,209
forãlacha,209
gheobhaidh,209
p,209
vãta,208
iadsan,208
meiriceã¡,208
plã,208
deacair,207
peadar,207
chogaidh,207
chrã­och,207
ithe,206
iãnã¡tã¡n,206
rãim,206
fhorã¡lacha,206
beaga,205
daonra,205
seomra,205
bhrã¡ithre,205
ball,204
chogadh,204
siãil,204
ndãanann,204
â€œnã¡,204
crann,204
glan,204
lãigh,204
ãirigh,204
milliãn,204
araon,204
ghearmã¡in,203
dfhan,203
teangacha,203
prionsabal,202
leasuithe,202
liomsa,201
thalamh,201
meã¡in,201
loch,201
brath,201
t-ainm,201
insint,201
ceannairã­,201
tãacs,200
fanacht,200
daichead,200
feidhmiã,200
aisghairtear,200
feirge,200
sliabh,200
deireanach,200
chor,200
uait,200
shuã­,200
deoch,199
bunaã­odh,199
cumhachtaã­,199
sheas,198
polaitiãil,198
mheas,198
amhras,198
gcuirfear,197
schengen,196
thionscnamh,196
cuairt,196
dãcha,196
riarachã¡in,196
nã¡rbh,196
rath,196
galar,195
uime,195
shaothar,195
cumhacht,195
stã¡das,195
dearmad,195
chlã¡r,195
faisnãis,195
inmheã¡nach,194
trã¡cht,194
shãisialta,194
reatha,194
peaca,194
chugat,193
thuig,193
ghnã,193
trã­ocha,193
casadh,193
saighdiãirã­,193
fã¡idh,193
ana,192
brã¡ch,192
bhris,192
teagasc,191
bã­gã­,191
beartais,191
iris,191
rã­ochta,190
gceart,190
cãnamh,190
ãige,190
foilsã­odh,190
lãivã­tigh,190
fuath,189
litrã­ocht,189
anam,189
seoladh,189
baineann,189
reachtacha,189
abhainn,188
chomhaltaã­,188
chara,188
n,188
bhunaigh,188
suã­,188
ghrian,188
sã¡ch,188
suã­omh,187
amhrã¡n,187
aerã¡ide,187
dtã­ortha,187
athrãg,187
gcãanna,186
ãdarã¡is,186
turas,186
comhaontã,186
sholã¡thar,186
saoil,186
fhãadfaidh,186
abrahã¡m,186
contae,186
ã¡irc,186
shearbhãnta,185
cruinne,185
triãr,185
dãithe,185
bhrã¡id,185
ceoil,185
farraige,185
neach,185
dhãanfar,185
fheiceã¡il,185
margadh,185
phointe,185
leanbh,185
chinn,185
doras,184
solamh,184
fhuinneamh,184
tharraingt,184
ndã¡n,184
tãann,184
chlã,183
choiste,183
lonnaithe,183
lãchã¡ir,183
glãir,183
dteannta,183
la,183
dã­lis,183
foirne,182
deirim,182
luath,182
freagrach,182
fã¡s,182
ãga,182
naomh,182
gaeltachta,182
coimhdeachta,181
cogaidh,181
dlã­the,181
gairid,181
sã­ochã¡in,181
rãiteach,181
chloig,180
oifige,180
trã¡chtã¡la,180
dãil,180
intinn,180
muinã­n,179
mba,179
filleadh,179
grãine,179
chugaibh,179
uaireanta,179
pãl,179
bhfãadfadh,179
dfhãadfadh,179
leataobh,179
fãill,178
ocht,178
ngabhann,178
eatarthu,178
gconarthaã­,177
tã¡irge,177
lã¡imhe,177
cã¡il,177
eaglais,177
oibriã,176
dhãigh,176
spã¡inn,176
aimsir,175
phoiblã­,175
taithã­,175
cainte,175
rãidh,175
sluaite,175
scãala,175
ãileamh,175
tuilleadh,175
dhul,174
thãs,174
heagla,174
ghabhã¡il,174
bhfear,174
dãarfaidh,174
ghnã­omhaã­ocht,174
neamhghlan,174
on,173
chucu,173
t-am,173
dãchais,173
feabhsaithe,172
cine,172
trã¡,172
tuarascã¡il,172
john,172
â€œagus,172
ndearnadh,172
theith,171
mhã¡istir,171
aingeal,171
titim,171
cath,171
fãile,171
leigheas,171
chairde,171
gearmã¡ine,171
uimhir,171
dã¡irã­re,170
rãn,170
bhfios,170
v,170
trãcaire,170
fhãidir,170
moltaã­,170
sea,169
ãard,169
chugainn,169
coitianta,169
chãram,169
fola,169
fã­rinne,169
ceapadh,169
mhaois,169
bliantãil,168
anairteagal,168
bãthar,168
breã¡,168
lã¡ithreach,168
seã¡n,167
seanãirã­,167
eachtra,167
tuairisc,167
aigne,167
fraince,166
eagraã­ocht,166
dteideal,166
imithe,166
mic,166
ndeachaigh,166
ghinearã¡lta,166
crã­che,166
leanann,166
bhoth,166
leanãint,166
cluas,165
fuil,165
banlã¡mh,165
cãram,165
dtugann,165
iarnrãid,165
praghsanna,164
mhoill,164
chosc,164
daois,164
dhãantar,164
bablãine,163
ã¡itiãil,163
dhãanfadh,163
breithiãnais,163
thairis,163
theampall,163
mhnã¡,163
dheasca,162
â€œseo,162
troid,162
gcomhphobal,162
ngleic,161
tharraing,161
vãtã¡il,161
fichead,161
fã¡gadh,161
fhaisnãis,161
domsa,161
threibh,161
cãile,161
ndãanfadh,160
sheachtrach,160
ghrãpa,160
threoir,160
treoracha,160
chãrsaã­,160
mhullach,160
gcã¡sanna,160
rãimeas,160
hãsiltã­re,160
taoiseach,160
liteartha,159
claã­omh,159
fãrsaã­,159
airgeadaã­ochta,159
for,159
solã¡thar,159
fhã¡sach,158
fãnamh,158
smaointe,158
shibhialta,158
tacaã­ocht,157
uileloiscthe,157
bhãarla,157
ceal,157
blas,157
shãil,157
spreagadh,157
ã“n,156
hã¡ite,156
dteanga,156
leaba,156
luaitear,156
chomhphobal,155
thoir,155
rannphã¡irtã­ocht,155
ghnã¡th,155
maireann,155
cã¡sanna,155
aidhm,155
fostaithe,155
phlã,154
rialaithe,154
reithe,154
h,154
deirtear,154
glãr,154
gluaiseacht,154
gcomhbheartas,154
stad,154
sular,153
fadã,153
bheo,153
oscailt,153
ceanglais,153
mbealach,153
mã¡thair,153
dhlã­the,153
fhir,153
ãl,153
grinnscrãdã,153
trasna,153
gar,153
comhalta,152
sibhialta,152
cothrom,152
riachtanach,152
creideamh,152
buã­ochas,152
caidreamh,152
coinbhinsiãn,152
nã¡isiãin,152
chine,152
crã­och,152
inniãla,151
soilãir,151
lãinn,151
staid,151
thig,151
bhfolach,151
dã¡nta,151
shon,151
n-aithreacha,151
athbhreithniã,151
ã‰is,151
scaoileadh,151
mã­lte,150
thugadar,150
alt,150
gcuma,150
misneach,150
cois,150
luain,150
dtuaisceart,150
rn,149
iãdã¡s,149
brã,149
geal,149
faide,149
ãifeacht,149
nollag,148
cheannais,148
pã¡draig,148
ceaptha,148
tacã,148
gcoiste,148
dubh,148
guth,148
â‚,148
fhad,148
shliabh,148
eafrã¡im,148
ghlacfaidh,148
ã¡thas,148
cuirigã­,148
scaipeadh,147
o,147
anonn,147
g,147
dheis,147
hiodã¡ile,147
bprãtacal,147
clã¡ir,147
dã¡n,147
thall,146
rinneadar,146
sãã,146
geata,146
glacfar,146
bhfoirm,146
ligean,146
cheathrã,146
thaispeã¡in,146
suim,146
dãanadh,145
leasa,145
agusnã,145
grãpa,145
cumas,145
amã,144
â€˜an,144
stiãrthãir,144
sraith,144
ãadaigh,144
caithfear,144
doicimãad,144
caitheamh,144
tabharfar,143
gclann,143
iãã¡b,143
chomhaontã,143
bhreis,143
ãag,143
fã¡ithe,143
tubaiste,143
nã¡isiãnaigh,143
gcãrsaã­,143
dual,143
saineofar,143
imirt,143
eorpaã­,143
arã¡n,143
onãir,142
staidrimh,142
bfhãidir,142
irimia,142
tãgã¡il,141
shocraigh,141
gcaitheamh,141
eit,141
damã¡iste,141
smaoineamh,141
ghlãr,141
thoil,141
chruthaigh,141
fhã¡gã¡il,141
beagã¡n,141
chorp,141
staidãar,141
baol,140
lãitheoir,140
tuairimã­,140
comhartha,140
costais,140
m,140
cuimhne,140
aitheanta,139
chosa,139
litir,139
pã¡irteach,139
sonrach,139
cara,139
sã­oraã­,139
dã­ol,139
iordã¡in,139
sheoladh,139
thrã­,139
dearthã¡ir,139
ã“s,138
fhorã¡il,138
fhaigheann,138
imnã­,138
linne,138
reachtanna,138
clocha,138
lã¡nphã¡irtiã,138
foclaã­ocht,138
astu,138
forann,138
feirste,138
inniãlacht,138
gcampa,138
trã¡thnãna,138
teampaill,138
cã¡ch,138
gnã­omhaã­ochta,138
infheistã­ochta,137
ãsã¡idtear,137
pholaitiãil,137
pobail,137
leon,137
measa,137
â€œcãn,137
fã¡ilte,137
tithe,137
ghrã¡,137
neamhspleã¡ch,137
chãras,137
dtagann,137
bhrã,137
cloch,136
bheart,136
saibhreas,136
comhlã­onadh,136
ã­obairtã­,136
teachtaireacht,136
pã,136
earnã¡il,136
shlã­,136
â€œfãach,136
catha,136
ã­omhã¡,136
neimhe,136
cheantar,135
namhaid,135
spreag,135
tionscnaimh,135
teann,135
faisnãise,135
creat,135
phrãtacail,135
chrã­ost,135
guã­,135
t-olc,135
thrãimhse,134
ceisteanna,134
easpa,134
maoin,134
ranna,134
ã¡iteanna,134
treibh,133
shonraã­tear,133
tã¡bhachtaã­,133
shuigh,133
t,133
post,133
dãiche,133
chruthã,133
tairbhe,133
stã¡isiãn,133
fhãadfar,133
rãl,132
shã­l,132
critãir,132
gorm,132
dãchas,132
fine,132
bhearta,132
oibrã­ochtaã­,132
rompu,132
ros,132
bhã¡s,132
teaghlaigh,132
simplã­,131
ceannaire,131
gcinã­ocha,131
seachtain,131
mãire,131
bã¡n,131
modhanna,131
spãir,131
hinstitiãidã­,131
n-aghaidh,131
breise,131
mã­n,130
athar,130
chrom,130
ord,130
scriosadh,130
maraã­odh,130
dearcadh,130
cosc,130
gaillimhe,130
lãitheoirã­,129
iarratas,129
gãar,129
fosta,129
thuaisceart,129
bolsonaro,129
toiliã,129
dhãchas,129
fharraige,129
lãite,129
ãdar,129
glaoch,129
talmhaã­ochta,129
aisce,129
mionsonraithe,128
mara,128
shiãl,128
baineadh,128
inis,128
chruinnigh,128
tagairtã­,128
chuma,128
trãan,128
dhã­th,127
gnãithe,127
mathair,127
dheonã,127
n-ionad,127
aairteagal,127
luigh,127
dhã­ol,127
glactha,127
leithãidã­,127
scaoil,127
deas,127
rãaltaã­,126
liam,126
tearmann,126
sanctãir,126
stã­l,126
ormsa,126
dfhiafraigh,126
arbh,125
buan,125
bhreatain,125
dã“ibh,125
shearbhãntaã­,125
teorann,125
filistã­nigh,125
dinis,125
leighis,125
theannta,125
hiziciã¡,125
leasanna,125
oideachas,125
doicimãid,125
cã¡nacha,125
nãimãad,125
chaint,125
triall,125
eorpacha,125
agamsa,124
raidiã,124
dtabhairt,124
ãigean,124
tiff,124
sã­ol,124
haoine,124
ainmhã­,124
ãirã­onn,124
bailte,124
tã¡bla,124
bhfaighidh,123
spãis,123
chionn,123
grãpaã­,123
ã­ocshlã¡inte,123
choinbhinsiãn,123
mã­re,123
oirthear,123
chum,123
institiãid,123
luaite,123
reachtaã­ocht,123
ã‰ire,122
measfar,122
trealamh,122
gcuireann,122
ainmneacha,122
mhãad,122
cailleadh,122
srianta,122
breathnã,122
bhronn,122
bunãidh,122
seicil,122
gcionn,122
gheata,122
rãis,122
ardã,121
locht,121
pã­osa,121
dainm,121
fhada,121
nãtaã­,121
prãtacail,121
ndãanfaã­,121
cheapadh,121
bhfocal,121
ghlãin,121
eagraã­ochtaã­,121
flaithis,121
neamhriachtanacha,121
mã¡ire,121
rã­chathaoir,120
tã¡bhachtach,120
iasacht,120
caiteachas,120
ndeireadh,120
â€œcã,120
crainn,120
thine,120
mhaolã,120
diarr,120
ainmhithe,120
mairg,119
ostair,119
faighte,119
ionadh,119
oileã¡in,119
rothar,119
saintrãithe,119
polainne,119
spã¡s,119
rua,119
laoch,119
caipitil,119
polaitiãla,119
fhuil,118
tarraingt,118
bhfeighil,118
fhocal,118
bheartais,118
teagmhã¡la,118
cheannaigh,118
fã­on,118
gcãras,118
thã¡irgã­,118
chãrais,118
himeachtaã­,118
chiall,118
caoineadh,118
hard,118
chreideamh,118
shasana,117
â€œmã¡,117
saoire,117
aistriãchã¡n,117
fhãgairt,117
trom,117
theastaigh,117
caoga,117
cãirteanna,117
eagrã,117
iacãib,117
chreid,117
feidhmeanna,117
bhainfidh,117
rochtain,117
lãirã­onn,117
beannacht,117
gnã­omhaireachta,116
chlã¡ir,116
mhãã¡b,116
acmhainnã­,116
eascraã­onn,116
tionscadail,116
ghlãir,116
ceantar,116
cãiteamh,116
scrã­bhneoireacht,116
â€˜tã¡,116
sasana,116
dãn,115
nace,115
seach,115
mhargaidh,115
oscailte,115
tograã­,115
bonn,115
saibhir,115
thrãig,115
â€˜is,115
rã­oga,115
luachanna,115
shainiã,115
